"","Begin_Date","Begin_Hour","Maneuver","Transit"
"1923",2025-02-15,2,0,0
"1924",2025-02-15,3,0,0
"1925",2025-02-15,4,0,0
"1926",2025-02-15,5,0,0
"1927",2025-02-15,6,0,0
"1928",2025-02-15,7,0,0
"1929",2025-02-15,8,0,0
"1930",2025-02-15,9,0,0
"1931",2025-02-15,10,0,0
"1932",2025-02-15,11,0,0
"1933",2025-02-15,12,0,0
"1934",2025-02-15,13,0,0
"1935",2025-02-15,14,0,0
"1936",2025-02-15,15,0,0
"1937",2025-02-15,16,0,0
"1938",2025-02-15,17,0,0
"1939",2025-02-15,18,0,0
"1940",2025-02-15,19,0,0
"1941",2025-02-15,20,0,0
"1942",2025-02-15,21,0,0
"1943",2025-02-15,22,0,0
"1944",2025-02-15,23,0,0
"1945",2025-02-16,0,0,0
"1946",2025-02-16,1,0,0
"1947",2025-02-16,2,0,0
"1948",2025-02-16,3,0,0
"1949",2025-02-16,4,0,0
"1950",2025-02-16,5,0,0
"1951",2025-02-16,6,0,0
"1952",2025-02-16,7,0,0
"1953",2025-02-16,8,0,0
"1954",2025-02-16,9,0,0
"1955",2025-02-16,10,0,0
"1956",2025-02-16,11,0,0
"1957",2025-02-16,12,0,0
"1958",2025-02-16,13,0,0
"1959",2025-02-16,14,0,0
"1960",2025-02-16,15,0,0
"1961",2025-02-16,16,0,0
"1962",2025-02-16,17,0,0
"1963",2025-02-16,18,0,0
"1964",2025-02-16,19,0,0
"1965",2025-02-16,20,0,0
"1966",2025-02-16,21,0,0
"1967",2025-02-16,22,0,0
"1968",2025-02-16,23,0,0
"1969",2025-02-17,0,0,0
"1970",2025-02-17,1,0,0
"1971",2025-02-17,2,0,0
"1972",2025-02-17,3,0,0
"1973",2025-02-17,4,0,0
"1974",2025-02-17,5,0,0
"1975",2025-02-17,6,0,0
"1976",2025-02-17,7,0,0
"1977",2025-02-17,8,0,0
"1978",2025-02-17,9,0,0
"1979",2025-02-17,10,0,0
"1980",2025-02-17,11,0,0
"1981",2025-02-17,12,0,0
"1982",2025-02-17,13,0,0
"1983",2025-02-17,14,0,0
